PLAYER,2019/20 ,2019/20(*)
Dion Waiters,"$375,385 ","$447,146 "
Dean Wade,"$375,000 ","$446,687 "
Norvel Pelle,"$350,189 ","$417,133 "
Juan Toscano-Anderson,"$350,189 ","$417,133 "
Ky Bowman,"$350,189 ","$417,133 "
Jamal Crawford,"$289,803 ","$345,203 "
Jordan Bell,"$250,000 ","$297,791 "
Tyler Zeller,"$245,686 ","$292,652 "
Trey Burke,"$229,220 ","$273,039 "
Jontay Porter,"$197,933 ","$235,771 "
Jerian Grant,"$196,288 ","$233,811 "
Cameron Payne,"$196,288 ","$233,811 "
Dragan Bender,"$189,700 ","$225,964 "
Mychal Mulder,"$187,782 ","$223,679 "
Corey Brewer,"$183,115 ","$218,120 "
Sindarius Thornwell,"$183,115 ","$218,120 "
PJ Dozier,"$183,115 ","$218,120 "
Tyler Johnson,"$183,115 ","$218,120 "
Jaylen Adams,"$163,356 ","$194,584 "
Joe Chealey,"$163,356 ","$194,584 "
Johnathan Williams,"$161,245 ","$192,069 "
Luguentz Dort,"$155,647 ","$185,401 "
Oshae Brissett,"$129,568 ","$154,337 "
JP Macura,"$106,181 ","$126,479 "
Donta Hall,"$101,504 ","$120,908 "
Chasson Randle,"$91,557 ","$109,059 "
Sheldon Mac,"$91,557 ","$109,059 "
Jonah Bolden,"$89,846 ","$107,021 "
Derrick Walton,"$81,678 ","$97,292 "
Garrison Mathews,"$79,568 ","$94,778 "
Justin Wright-Foreman,"$79,568 ","$94,778 "
Jarrell Brantley,"$79,568 ","$94,778 "
Paul Watson,"$79,568 ","$94,778 "
Quinndary Weatherspoon,"$79,568 ","$94,778 "
Drew Eubanks,"$79,568 ","$94,778 "
Kyle Guy,"$79,568 ","$94,778 "
Jaylen Hoard,"$79,568 ","$94,778 "
Moses Brown,"$79,568 ","$94,778 "
Tariq Owens,"$79,568 ","$94,778 "
Marial Shayok,"$79,568 ","$94,778 "
BJ Johnson,"$79,568 ","$94,778 "
Vic Law,"$79,568 ","$94,778 "
Kevin Hervey,"$79,568 ","$94,778 "
Jared Harper,"$79,568 ","$94,778 "
Kenny Wooten,"$79,568 ","$94,778 "
Josh Gray,"$79,568 ","$94,778 "
Zylan Cheatham,"$79,568 ","$94,778 "
Jordan McLaughlin,"$79,568 ","$94,778 "
Kelan Martin,"$79,568 ","$94,778 "
Frank Mason,"$79,568 ","$94,778 "
Cam Reynolds,"$79,568 ","$94,778 "
Gabe Vincent,"$79,568 ","$94,778 "
Kyle Alexander,"$79,568 ","$94,778 "
Yuta Watanabe,"$79,568 ","$94,778 "
John Konchar,"$79,568 ","$94,778 "
Kostas Antetokounmpo,"$79,568 ","$94,778 "
Devontae Cacok,"$79,568 ","$94,778 "
Amir Coffey,"$79,568 ","$94,778 "
Johnathan Motley,"$79,568 ","$94,778 "
Brian Bowen,"$79,568 ","$94,778 "
Naz Long,"$79,568 ","$94,778 "
William Howard,"$79,568 ","$94,778 "
Michael Frazier,"$79,568 ","$94,778 "
Louis King,"$79,568 ","$94,778 "
Jordan Bone,"$79,568 ","$94,778 "
Tyler Cook,"$79,568 ","$94,778 "
Bol Bol,"$79,568 ","$94,778 "
Antonius Cleveland,"$79,568 ","$94,778 "
Josh Reaves,"$79,568 ","$94,778 "
Matt Mooney,"$79,568 ","$94,778 "
Adam Mokoka,"$79,568 ","$94,778 "
Max Strus,"$79,568 ","$94,778 "
Kobi Simmons,"$79,568 ","$94,778 "
Raymond Spalding,"$79,568 ","$94,778 "
Chris Chiozza,"$79,568 ","$94,778 "
Jeremiah Martin,"$79,568 ","$94,778 "
Tremont Waters,"$79,568 ","$94,778 "
Tacko Fall,"$79,568 ","$94,778 "
Charlie Brown,"$79,568 ","$94,778 "
Malik Newman,"$65,978 ","$78,590 "
